Index,main_speaker,title,details,posted,url,
470,Rob Reid,How synthetic biology could wipe out humanity — and how we can stop it,"The world-changing promise of synthetic biology and gene editing has a dark side. In this far-seeing talk, author and entrepreneur Rob Reid reviews the risks of a world where more and more people have access to the tools and tech needed to create a doomsday bug that could wipe out humanity -- and suggests that it's time to take this danger seriously.",Posted Jun 2019,https://www.ted.com/talks/rob_reid_how_synthetic_biology_could_wipe_out_humanity_and_how_we_can_stop_it,
471,Ayana Elizabeth Johnson and Megan Davis,Underwater farms vs. climate change,"For billions of people, seafood provides a significant source of protein and nutrition, but over half the seafood we eat isn't caught in the wild, it's grown through aquaculture. Farmed seafood is one of the fastest-growing food industries, but the farming methods echo the problems we've seen in industrial agriculture. Is there a way to sustainably farm the ocean? Ayana Elizabeth Johnson and Megan Davis investigate. [Directed by Biljana Labovic, narrated by Alexandra Panzer].",Posted Jun 2019,https://www.ted.com/talks/ayana_elizabeth_johnson_and_megan_davis_underwater_farms_vs_climate_change,
472,Kaitlyn Sadtler,Your body vs. implants,"Insulin pumps improve the lives of millions of people with diabetes around the world by monitoring blood sugar, delivering insulin, and preventing the need for constant finger-pricking. But there's a catch: they're temporary. And it's not only insulin pumps that have this problem, but all bodily implants. Why is that? Kaitlyn Sadtler details how our immune system reacts to foreign bodies. [Directed by Andrew Foerster, narrated by Bethany Cutmore-Scott].",Posted Jun 2019,https://www.ted.com/talks/kaitlyn_sadtler_your_body_vs_implants,
473,David Baker,5 challenges we could solve by designing new proteins,"Proteins are remarkable molecular machines: they digest your food, fire your neurons, power your immune system and so much more. What if we could design new ones, with functions never before seen in nature? In this remarkable glimpse of the future, David Baker shares how his team at the Institute for Protein Design is creating entirely new proteins from scratch -- and shows how they could help us tackle five massive challenges facing humanity. (This ambitious plan is a part of the Audacious Project, TED's initiative to inspire and fund global change.)",Posted Jun 2019,https://www.ted.com/talks/david_baker_5_challenges_we_could_solve_by_designing_new_proteins,
474,Steve Simpson,How ocean noise destroys marine ecosystems,"Noise pollution is normally seen as a problem for big cities. In this talk, marine biologist Steve Simpson sets the story straight, describing how human-made sounds are the culprits behind catastrophic marine disruptions. Simpson lays out several concrete methods for a relatively quick and easy fix to decrease our noise levels. ",Posted Jun 2019,https://www.ted.com/talks/steve_simpson_how_ocean_noise_destroys_marine_ecosystems,
475,Michael Tubbs,The political power of being a good neighbor,"Michael Tubbs is the youngest mayor in American history to represent a city with more than 100,000 people -- and his policies are sparking national conversations. In this rousing talk, he shares how growing up amid poverty and violence in Stockton, California shaped his bold vision for change and his commitment to govern as a neighbor, not a politician. ""When we see someone different from us, they should not reflect our fears, our anxieties, our insecurities,"" he says. ""We should see our common humanity.""",Posted Jun 2019,https://www.ted.com/talks/michael_tubbs_the_political_power_of_being_a_good_neighbor,
476,Emeli Sandé,"""You Are Not Alone"" / ""Extraordinary Being"" / ""Shine""","""We are intricately connected by the most glorious of energies,"" says singer-songwriter Emeli Sandé. Accompanied by Ray Angry on piano, Sandé sings three soaring ballads: ""You Are Not Alone,"" ""Extraordinary Being"" and ""Shine.""",Posted Jun 2019,https://www.ted.com/talks/emeli_sande_you_are_not_alone_extraordinary_being_shine,
477,Daniel Lismore,My life as a work of art,"Daniel Lismore's closet is probably a bit different than yours -- his clothes are constructed out of materials ranging from beer cans and plastic crystals to diamonds, royal silks and 2,000-year-old Roman rings. In this striking talk, Lismore shares the vision behind his elaborate ensembles and explores what it's like to live life as a work of art. ""Everyone is capable of creating their own masterpiece,"" he says. ""You should try it sometime.""",Posted Jun 2019,https://www.ted.com/talks/daniel_lismore_my_life_as_a_work_of_art,
478,Lucy Clayton,The true power of a good outfit,"In this thought-provoking talk, writer and podcaster Lucy Clayton examines the power of ordinary people in extraordinary outfits and describes how we can repurpose fashion in service of political expression.",Posted Jun 2019,https://www.ted.com/talks/lucy_clayton_the_true_power_of_a_good_outfit,
479,Truls Nord,"Tactile photographs that display worlds of light, shadow and mood","For years, tactile photographs for the blind conveyed a limited amount of information about the original image and focused mainly on basic descriptive elements. In this talk, artist and photographer Truls Nord describes a printing technique he developed to help blind people experience photography in all its glory.",Posted Jun 2019,https://www.ted.com/talks/truls_nord_tactile_photographs_that_display_worlds_of_light_shadow_and_mood,
480,Stefen Chow,The everyday beauty of playgrounds,"When photographer Stefen Chow took his young daughter to a playground for the first time, he was struck by her visceral reaction to the new surroundings. To better understand her interaction with these spaces and to correct his own detachment from them, Chow attached a camera to a drone and launched an aerial photography project about Singapore's playgrounds. In this personal talk, he explains how examining everyday spaces from a new angle can help us understand and appreciate them better.",Posted Jun 2019,https://www.ted.com/talks/stefen_chow_the_everyday_beauty_of_playgrounds,
481,Robert Frost,"""The Road Not Taken""","This animation is part of the TED-Ed series, ""There's a Poem for That,"" which features animated interpretations of poems both old and new that give language to some of life's biggest feelings. [Poem by Robert Frost, directed by Ellen Su, music by Stephen LaRosa]. ",Posted Jun 2019,https://www.ted.com/talks/robert_frost_the_road_not_taken,
482,Brian A. Pavlac,Ugly History: Witch Hunts,"In the German town of Nördlingen in 1593, innkeeper Maria Höll found herself accused of witchcraft. She was arrested for questioning, and denied the charges. She insisted she wasn't a witch through 62 rounds of torture before her accusers finally released her. Other accused witches weren't so ""lucky."" Why did these witch hunts occur? Brian A. Pavlac digs into this horrific chapter in human history. [Directed by Lisa LaBracio, narrated by Adrian Dannatt, music by Stephen LaRosa].",Posted Jun 2019,https://www.ted.com/talks/brian_a_pavlac_ugly_history_witch_hunts,
483,Resistance Revival Chorus,"""The Rich Man's House"" / ""Woke Up This Morning (With My Mind Stayed on Freedom)""","Resistance Revival Chorus, a collective of more than 60 women, fill the TED World Theater with a rhapsodic performance of ""The Rich Man's House"" and ""Woke Up This Morning (With My Mind Stayed on Freedom)."" They show us how joy can be an act of resistance.",Posted Jun 2019,https://www.ted.com/talks/resistance_revival_chorus_the_rich_man_s_house_woke_up_this_morning_with_my_mind_stayed_on_freedom,
484,Marie Howe,"""The Singularity""","Poet Marie Howe introduces us to ""ecopoetry,"" which asks the human ego to step aside and ""let the whole living world move into the poem."" She reads her poem ""The Singularity,"" inspired by the physics that created the earth.",Posted Jun 2019,https://www.ted.com/talks/marie_howe_the_singularity,
485,Mónica Ramírez,Passing the mic to migrant farmer workers,"How can we make space for marginalized communities to tell their stories? Raised by migrant farm workers, attorney Mónica Ramírez points out the injustices this often unseen and isolated group faces -- from wage theft and sexual harassment to dangerous working conditions -- and advocates for the solutions they need.",Posted Jun 2019,https://www.ted.com/talks/monica_ramirez_passing_the_mic_to_migrant_farmer_workers,
486,Ryan Martin,Why we get mad — and why it's healthy,"Anger researcher Ryan Martin draws from a career studying what makes people mad to explain some of the cognitive processes behind anger -- and why a healthy dose of it can actually be useful. ""Your anger exists in you ... because it offered your ancestors, both human and nonhuman, an evolutionary advantage,"" he says. ""[It's] a powerful and healthy force in your life.""",Posted Jun 2019,https://www.ted.com/talks/ryan_martin_why_we_get_mad_and_why_it_s_healthy,
487,James Logan,Can dogs sniff out malaria?,"Each year, hundreds of thousands of people around the world die of malaria. Aided by a demo from Freya the malaria-sniffing dog, infectious disease researcher James Logan describes the role of scent in the spread of malaria and explains how dogs can help break that cycle. ",Posted Jun 2019,https://www.ted.com/talks/james_logan_can_dogs_sniff_out_malaria_jan_2019,
488,Priya Parker,3 steps to turn everyday get-togethers into transformative gatherings,"Why do some gatherings take off and others don't? Author Priya Parker shares three easy steps to turn your parties, dinners, meetings and holidays into meaningful, transformative gatherings.",Posted Jun 2019,https://www.ted.com/talks/priya_parker_3_steps_to_turn_everyday_get_togethers_into_transformative_gatherings,
489,Philip A. Chan,How close are we to eradicating HIV?,"The world is getting closer to achieving one of the most important public health goals of our time: eradicating HIV. And to do this, we won't even have to cure the disease. We simply have to stop HIV from being transmitted until eventually it fizzles out. Philip A. Chan explores the preventive strategies helping us tackle HIV and the possibility of ending the epidemic. [Directed by Antimatter, narrated by Addison Anderson, music by André Aires / AIM Creative Studios].",Posted Jun 2019,https://www.ted.com/talks/philip_a_chan_how_close_are_we_to_eradicating_hiv,
490,Karen Lloyd,The mysterious microbes living deep inside the earth — and how they could help humanity,"The ground beneath your feet is home to a massive, mysterious world of microbes -- some of which have been in the earth's crust for hundreds of thousands of years. What's it like down there? Take a trip to the volcanoes and hot springs of Costa Rica as microbiologist Karen Lloyd shines a light on these subterranean organisms and shows how they could have a profound impact on life up here.",Posted Jun 2019,https://www.ted.com/talks/karen_lloyd_the_mysterious_microbes_living_deep_inside_the_earth_and_how_they_could_help_humanity,
491,Cristin O'Keefe Aptowicz,"""Three Months After""","This animation is part of the TED-Ed series, ""There's a Poem for That,"" which features animated interpretations of poems both old and new that give language to some of life's biggest feelings. [Poem by Cristin O'Keefe Aptowicz, directed by Naghmeh Farzaneh, music by Adam Larison].",Posted Jun 2019,https://www.ted.com/talks/cristin_o_keefe_aptowicz_three_months_after,
492,Juna Kollmeier,"The most detailed map of galaxies, black holes and stars ever made","Humans have been studying the stars for thousands of years, but astrophysicist Juna Kollmeier is on a special mission: creating the most detailed 3-D maps of the universe ever made. Journey across the cosmos as she shares her team's work on the Sloan Digital Sky Survey, imaging millions of stars, black holes and galaxies in unprecedented detail. If we maintain our pace, she says, we can map every large galaxy in the observable universe by 2060. ""We've gone from arranging clamshells to general relativity in a few thousand years,"" she says. ""If we hang on 40 more, we can map all the galaxies.""",Posted Jun 2019,https://www.ted.com/talks/juna_kollmeier_the_most_detailed_map_of_galaxies_black_holes_and_stars_ever_made,
493,The Nature Conservancy,An ingenious proposal for scaling up marine protection,"Island and coastal nations need to protect their waters to keep the oceans healthy. But they often have lots of debt and aren't able to prioritize ocean conservation over other needs. The team at The Nature Conservancy sees a way to solve both problems at once: restructuring a nation's debt in exchange for its government's commitment to protect coastal areas. Learn more about how ""Blue Bonds for Conservation"" work -- and how you can help unlock billions of dollars for the oceans. This ambitious plan is a part of the Audacious Project, TED's initiative to inspire and fund global change. (Voiced by Ladan Wise)",Posted Jun 2019,https://www.ted.com/talks/the_nature_conservancy_an_ingenious_proposal_for_scaling_up_marine_protection,
494,Jeff Leek and Lucy McGowan,This one weird trick will help you spot clickbait,"Health headlines are published every day, sometimes making opposite claims from each other. There can be a disconnect between broad, attention-grabbing headlines and the often specific, incremental results of the medical research they cover. So how can you avoid being misled by grabby headlines? Jeff Leek and Lucy McGowan explain how to read past the clickbait. [Directed by Zedem Media, narrated by Addison Anderson].",Posted Jun 2019,https://www.ted.com/talks/jeff_leek_and_lucy_mcgowan_this_one_weird_trick_will_help_you_spot_clickbait,
495,Michelle Kuo,The healing power of reading,Reading and writing can be acts of courage that bring us closer to others and ourselves. Author Michelle Kuo shares how teaching reading skills to her students in the Mississippi Delta revealed the bridging power of the written word -- as well as the limitations of its power.,Posted Jun 2019,https://www.ted.com/talks/michelle_kuo_the_healing_power_of_reading,
496,William Shakespeare,"""All the World's a Stage""","This animation is part of the TED-Ed series, ""There's a Poem for That,"" which features animated interpretations of poems both old and new that give language to some of life's biggest feelings. [Poem by William Shakespeare, directed by Jeffig Le Bars and Jérémie Balais, music by Raphaël Pibarot].",Posted Jun 2019,https://www.ted.com/talks/william_shakespeare_all_the_world_s_a_stage,
497,David Brooks,The lies our culture tells us about what matters — and a better way to live,"Our society is in the midst of a social crisis, says op-ed columnist and author David Brooks: we're trapped in a valley of isolation and fragmentation. How do we find our way out? Based on his travels across the United States -- and his meetings with a range of exceptional people known as ""weavers"" -- Brooks lays out his vision for a cultural revolution that empowers us all to lead lives of greater meaning, purpose and joy.",Posted Jun 2019,https://www.ted.com/talks/david_brooks_the_lies_our_culture_tells_us_about_what_matters_and_a_better_way_to_live,
498,Sajan Saini,How light technology is changing medicine,"It's an increasingly common sight in hospitals around the world: a nurse measures our height, weight, blood pressure, and attaches a glowing plastic clip to our finger. Suddenly, a digital screen reads out the oxygen level in our bloodstream. How did that happen? Sajan Saini shows how pairing light with integrated photonics is leading to new medical technologies and less invasive diagnostic tools. [Directed by Artrake Studio, narrated by Addison Anderson].",Posted Jun 2019,https://www.ted.com/talks/sajan_saini_how_light_technology_is_changing_medicine,
499,Kate Bowler,"""Everything happens for a reason"" — and other lies I've loved","In life's toughest moments, how do you go on living? Kate Bowler has been exploring this question ever since she was diagnosed with stage IV cancer at age 35. In a profound, heartbreaking and unexpectedly funny talk, she offers some answers -- challenging the idea that ""everything happens for a reason"" and sharing hard-won wisdom about how to make sense of the world after your life is suddenly, completely changed. ""I believe that in the darkness, even there, there will be beauty and there will be love,"" she says.",Posted Jun 2019,https://www.ted.com/talks/kate_bowler_everything_happens_for_a_reason_and_other_lies_i_ve_loved,
500,Brendan Constantine,The Opposites Game,"A classroom erupts into a war of words as students grapple with a seemingly simple prompt: what is the opposite of a gun? This animation is part of the TED-Ed series, ""There's a Poem for That,"" which features animated interpretations of poems both old and new that give language to some of life's biggest feelings. [A TED-Ed Production, a film by Anna Samo + Lisa LaBracio, poem by Brendan Constantine, poem performed by Brendan Constantine, sound Design by Weston Fonger, animation &amp; Design by Anna Samo + Lisa LaBracio, animation Produced by Gerta Xhelo].",Posted Jun 2019,https://www.ted.com/talks/brendan_constantine_the_opposites_game,
501,Miguel Alcubierre,¿Cómo podríamos viajar más rápido que la velocidad de la luz?,"¿Sabes que la velocidad de la luz es tan rápida, que si el sol estallará ahorita, nadie se daría cuenta hasta dentro de 8 minutos? Miguel Alcubierre, un físico teórico, comparte y explica en esta iluminante charla algunas de las teorías de la física que nos ayudan a conceptualizar nuestro entendimiento del tiempo y del espacio.",Posted Jun 2019,https://www.ted.com/talks/miguel_alcubierre_como_podriamos_viajar_mas_rapido_que_la_velocidad_de_la_luz,
502,Holley Moyes,How darkness influences imagination,"Are our thoughts different in the dark? Archaeologist Holley Moyes studies the ritual cave sites of the ancient Mayans and how darkness influences mythology and human thinking. In this evocative talk, she describes how humans have always sought darkness to transcend the ordinary and ""find the divine within ourselves.""",Posted Jun 2019,https://www.ted.com/talks/holley_moyes_how_darkness_influences_imagination,
503,Dragana Rogulja,How artificial light affects our health,"In the last century, our sleep patterns have been heavily influenced by artificial light sources. (Think about your smartphone.) In this instructive talk, sleep researcher Dragana Rogulja outlines the damage this does to our health and suggests some ways to combat the problem. ",Posted Jun 2019,https://www.ted.com/talks/dragana_rogulja_how_artificial_light_affects_our_health,
504,Diane Knutson,Why we need darkness,"A century ago, the starry night sky was clearly visible -- now, songbirds mistake city skylines for the rising sun. Why is the such big problem? Former park ranger Diane Knutson explains the resounding impact light pollution has on our safety, health and environment.",Posted Jun 2019,https://www.ted.com/talks/diane_knutson_why_we_need_darkness,
505,Bjarke Ingels,"Floating cities, the LEGO House and other architectural forms of the future","Design gives form to the future, says architect Bjarke Ingels. In this worldwide tour of his team's projects, journey to a waste-to-energy power plant (that doubles as an alpine ski slope) and the LEGO Home of the Brick in Denmark -- and catch a glimpse of cutting-edge flood resilience infrastructure in New York City as well as an ambitious plan to create floating, sustainable cities that are adapted to climate change.",Posted Jun 2019,https://www.ted.com/talks/bjarke_ingels_floating_cities_the_lego_house_and_other_architectural_forms_of_the_future,
506,William Butler Yeats,"""The Second Coming""","This animation is part of the TED-Ed series, ""There's a Poem for That,"" which features animated interpretations of poems both old and new that give language to some of life's biggest feelings. [Poem by William Butler Yeats, directed by Eoin Duffy, music by Cypher Audio].",Posted May 2019,https://www.ted.com/talks/william_butler_yeats_the_second_coming,
507,Roger Hanlon,The amazing brains and morphing skin of octopuses and other cephalopods,"Octopus, squid and cuttlefish -- collectively known as cephalopods -- have strange, massive, distributed brains. What do they do with all that neural power? Dive into the ocean with marine biologist Roger Hanlon, who shares astonishing footage of the camouflaging abilities of cephalopods, which can change their skin color and texture in a flash. Learn how their smart skin, and their ability to deploy it in sophisticated ways, could be evidence of an alternative form of intelligence -- and how it could lead to breakthroughs in AI, fabrics, cosmetics and beyond.",Posted May 2019,https://www.ted.com/talks/roger_hanlon_the_amazing_brains_and_morphing_skin_of_octopuses_and_other_cephalopods,
508,Reniqua Allen,The story we tell about millennials — and who we leave out,"Millennials are now the largest, most diverse adult population in the US -- but far too often, they're reduced to the worn-out stereotype of lazy, entitled avocado toast lovers, says author Reniqua Allen. In this revealing talk, she shares overlooked stories of millennials of color, offering a broader, more nuanced view of the generation. ""Millennials are not a monolith,"" she says.",Posted May 2019,https://www.ted.com/talks/reniqua_allen_the_story_we_tell_about_millennials_and_who_we_leave_out,
509,Andrea Gibson,"""The Nutritionist""","This animation is part of the TED-Ed series, ""There's a Poem for That,"" which features animated interpretations of poems both old and new that give language to some of life's biggest feelings. [Poem by Andrea Gibson, directed by Tomás Pichardo-Espaillat, music by WORK PLAY WORK].",Posted May 2019,https://www.ted.com/talks/andrea_gibson_the_nutritionist,
510,Alex Gendler,"Why should you read ""The Master and Margarita""?","The Devil has come to town. But don't worry– all he wants to do is stage a magic show. This absurd premise forms the central plot of Mikhail Bulgakov's masterpiece, ""The Master and Margarita."" Its blend of political satire, historical fiction and occult mysticism has earned a legacy as one of the 20th century's greatest novels– and one of its strangest. Alex Gendler explores the subversive novel. [Directed by Adriatic Animation, narrated by Adrian Dannatt, music by Jure Buljević]. ",Posted May 2019,https://www.ted.com/talks/alex_gendler_why_should_you_read_the_master_and_margarita,
511,Erika Hamden,What it takes to launch a telescope,"TED Fellow and astronomer Erika Hamden leads the team building FIREBall, a telescope that hangs from a giant balloon at the very edge of space and looks for clues about how stars are created. She takes us inside the roller-coaster, decade-long journey to get the telescope from an idea into orbit -- and shows how failure is inevitable when you're pushing the limits of knowledge.",Posted May 2019,https://www.ted.com/talks/erika_hamden_what_it_takes_to_launch_a_telescope,
512,Baratunde Thurston,"How to deconstruct racism, one headline at a time","Baratunde Thurston explores the phenomenon of white Americans calling the police on black Americans who have committed the crimes of ... eating, walking or generally ""living while black."" In this profound, thought-provoking and often hilarious talk, he reveals the power of language to change stories of trauma into stories of healing -- while challenging us all to level up.",Posted May 2019,https://www.ted.com/talks/baratunde_thurston_how_to_deconstruct_racism_one_headline_at_a_time,
513,Maeve Higgins,"Why the ""good immigrant"" is a bad narrative","In this playfully delivered talk with a poignant message, comedian and podcaster Maeve Higgins delves into the stories about immigration she heard while traveling around the US (as an immigrant herself). ""People should not be considered valuable just because they do something of value to us,"" Higgins says.",Posted May 2019,https://www.ted.com/talks/maeve_higgins_why_the_good_immigrant_is_a_bad_narrative,
514,Galit Ariel,How AR can make us feel more connected to the world,"Technologist Galit Ariel believes that humanity's final frontier is the mind-blowing, space-bending technology known as augmented reality. Our bodies and minds are wired for rich physical interactions, and AR adds a digital layer directly onto or within our existing environment -- to transform our living rooms into lush jungles, for example. The possibilities for technologies to help us be more present and connected to the world are infinite as space itself. ""Amazing journeys await us right here on planet Earth,"" Ariel says. ""Bon voyage.""",Posted May 2019,https://www.ted.com/talks/galit_ariel_how_ar_can_make_us_feel_more_connected_to_the_world,
515,Beth Mortimer and Tarje Nissen-Meyer,The enigmatic language of elephants,"Elephants communicate using sounds deeper than the human ear can detect. Biologist Beth Mortimer and geophysicist Tarje Nissen-Meyer plan to eavesdrop on their conversations using a noninvasive, real-time and low-cost study method that can also potentially help locals in developing countries fight poaching. Learn how they keep an ear to the ground to help protect the world's most vulnerable societies, precious landscapes and iconic animals.",Posted May 2019,https://www.ted.com/talks/beth_mortimer_and_tarje_nissen_meyer_the_enigmatic_language_of_elephants,
516,Nivruti Rai,"An open-source database to create ""guardian angel"" AI","Imagine an extra brain that knows us better than we know ourselves, that exists ""with us, beside us, experiencing our world with us ... always connected, always processing, always watching."" Nivruti Rai believes that AI systems could become these kinds of guardian angels, if given the chance. In this future-forward talk, Rai explains how  machine-learning could flourish once it's able to analyze complex traffic patterns.",Posted May 2019,https://www.ted.com/talks/nivruti_rai_an_open_source_database_to_create_guardian_angel_ai,
517,Chitra Aiyar,How to build community when you feel isolated,"College can feel like a lonely place, especially if you're a student of color, a low-income individual, a first-generation youth -- or all three. Educator Chitra Aiyar outlines how she encourages her students to cultivate spaces for other marginalized students to connect and help each other grow.",Posted May 2019,https://www.ted.com/talks/chitra_aiyar_how_to_build_community_when_you_feel_isolated,
518,Stephen Doyle,Art that brings words to life,What if words did more than just sit on a page or a screen? Graphic designer Stephen Doyle creates art that expands on the literal meanings of words. This playful talk could shift your perspective on how you see language.,Posted May 2019,https://www.ted.com/talks/stephen_doyle_art_that_brings_words_to_life,
519,Neha Madhira and Haley Stack,Why student journalists should be protected from censorship,"High school newspaper editors Neha Madhira and Haley Stack share how they fought back when their critical journalism faced the threat of censorship. Learn more about how their efforts expanded to lobbying for New Voices, a law which would extend First Amendment protections to student journalism, and which has now passed in multiple states.",Posted May 2019,https://www.ted.com/talks/neha_madhira_and_haley_stack_why_student_journalists_should_be_protected_from_censorship,
520,Simona Abdallah,Beats that break barriers,"Percussionist Simona Abdallah takes the stage with a rapturous bang of the darbuka, a drum of Middle Eastern origins traditionally played by men. With a striking sound and crisp beats, she plays two songs and invites everyone to join the rhythm.",Posted May 2019,https://www.ted.com/talks/simona_abdallah_beats_that_break_barriers,
521,Flor de Toloache,"""Ruiseñor"" / ""No Hay Vuelta Atrás""","All-female Mariachi band Flor de Toloache take their name from a Mexican medicinal flower that's known to be an ingredient for love potions. Between two captivating songs, learn more about how the group is making a mark on Mariachi history.",Posted May 2019,https://www.ted.com/talks/flor_de_toloache_ruisenor_no_hay_vuelta_atras,
522,Ayanna Howard,Why we need to build robots we can trust,"The algorithms we've created to make our lives more organized and less chaotic are also learning from our behavior -- and our biases. Roboticist Ayanna Howard explores ways we can train our tech to be fairer than us, asking: How can we be more accountable in our relationships with robots?",Posted May 2019,https://www.ted.com/talks/ayanna_howard_why_we_need_to_build_robots_we_can_trust,
523,Rev. William Barber and Rev. Liz Theoharis,A call for a moral revival,"Poverty, ecological devastation and oppressive systems are among some of the biggest issues facing America today. Reverend William Barber and Reverend Liz Theoharis believe that it's time to address these issues with a uniting approach. They've traveled the country, following and guiding the Poor People's Campaign: a wave of nonviolent civil disobedience first started by Dr. Martin Luther King, Jr. Their aim? To shift the narrative around poverty and empower all.",Posted May 2019,https://www.ted.com/talks/rev_william_barber_and_rev_liz_theoharis_a_call_for_a_moral_revival,
524,Ane Brun,"""It All Starts With One"" / ""You Light My Fire""","Multi-instrumentalist Ane Brun joins the Lyris Quartet to perform two haunting, mesmerizing songs: the cabaret-inspired ""It All Starts With One"" and folk-infused ""You Light My Fire,"" with backing vocals from Rebecca Lichtenfeld.",Posted May 2019,https://www.ted.com/talks/ane_brun_it_all_starts_with_one_you_light_my_fire,
525,Claire Simeone,The lovable (and lethal) sea lion,"Sunning themselves on rocks or waddling awkwardly across the beach, it's easy to think of sea lions more as sea house cats. But don't be fooled by their beachside behavior. Under the waves, sea lions are incredible endurance hunters, reaching speeds of 18 miles an hour and hunting for up to 30 hours at a time. Claire Simeone dives into what makes these majestic mammals such resourceful foragers. [Directed by Cabong Studios, narrated by Alexandra Panzer, music by Matheus Wittmann].",Posted May 2019,https://www.ted.com/talks/claire_simeone_the_lovable_and_lethal_sea_lion,
526,Morgan Vague,These bacteria eat plastic,"Humans produce 300 million tons of new plastic each year -- yet, despite our best efforts, less than 10 percent of it ends up being recycled. Is there a better way to deal with all this waste? Morgan Vague describes her research with microbiologist Jay Mellies on bacteria that have evolved the unexpected ability to eat plastic -- and how they could help us solve our growing pollution problem.",Posted May 2019,https://www.ted.com/talks/morgan_vague_these_bacteria_eat_plastic,
527,Safia Elhillo,"""To Make Use of Water""","This animation is part of the TED-Ed series, ""There's a Poem for That,"" which features animated interpretations of poems both old and new that give language to some of life's biggest feelings. [Poem by Safia Elhillo, directed by Jeffig Le Bars and Jérémie Balais, music by Jeffig Le Bars].",Posted May 2019,https://www.ted.com/talks/safia_elhillo_to_make_use_of_water,
528,Kate E. Brandt,A world without waste,"Every Google search or YouTube upload costs the global network both energy and resources. As Google's head of sustainability, it's Kate E. Brandt's job to strategize solutions that cut the cost on our environment and our economy. In an innovative talk, she dives into her plan to green up Google by creating a circular economy which reuses, recycles and eliminates waste altogether.",Posted May 2019,https://www.ted.com/talks/kate_e_brandt_a_world_without_waste,
529,Shunan Teng,The Chinese myth of the white snake and the meddling monk,"Xu Xian had just received an invitation to the opening ceremony of a new temple. His wife, Bai Su Zhen, warned him not to attend, but Xu Xian, a devout Buddhist, felt obligated to make an appearance. What they didn't know was that these invitations had come from Fa Hai, the monk determined to separate them. Can the young lovers ever escape the monk's meddling? Shunan Teng shares this Chinese myth. [Directed by Kino Bino, narrated by Pen-Pen Chen, music by Gav Cantrell].",Posted May 2019,https://www.ted.com/talks/shunan_teng_the_chinese_myth_of_the_white_snake_and_the_meddling_monk,
530,Jarrell Daniels,What prosecutors and incarcerated people can learn from each other,"A few weeks before his release from prison, Jarrell Daniels took a class where incarcerated men learned alongside prosecutors. By simply sitting together and talking, they uncovered surprising truths about the criminal justice system and ideas for how real change happens. Now a scholar and activist, Daniels reflects on how collaborative education could transform the justice system and unlock solutions to social problems.",Posted May 2019,https://www.ted.com/talks/jarrell_daniels_what_prosecutors_and_incarcerated_people_can_learn_from_each_other,
531,America Ferrera,My identity is a superpower — not an obstacle,"Hollywood needs to stop resisting what the world actually looks like, says actor, director and activist America Ferrera. Tracing the contours of her career, she calls for more authentic representation of different cultures in media -- and a shift in how we tell our stories. ""Presence creates possibility,"" she says. ""Who we see thriving in the world teaches us how to see ourselves, how to think about our own value, how to dream about our futures.""",Posted May 2019,https://www.ted.com/talks/america_ferrera_my_identity_is_a_superpower_not_an_obstacle,
532,Austin Eubanks,What surviving the Columbine shooting taught me about pain,"Less than an hour after scrambling out the back door of the Columbine High School library on April 20, 1999, Austin Eubanks was lying in a hospital bed, medicated on a variety of painkillers. That was the beginning of a decade-long addiction that led to a profound realization about the current opioid epidemic: how we manage pain is both the problem and the solution. In this moving talk, he dissects emotional pain's role in addiction and expresses his hopes and suggestions for ways forward.",Posted May 2019,https://www.ted.com/talks/austin_eubanks_what_surviving_the_columbine_shooting_taught_me_about_pain,
533,Liz Powers,A new way to define self-worth,"When working with homeless and disabled artists, the refrain that social entrepreneur Liz Powers hears most often is: ""I don't want a handout, I want an opportunity."" In this talk, Powers explores the concept of ""Joblifting,"" a way to create chances for people by focusing on their talents rather than their circumstances. ",Posted May 2019,https://www.ted.com/talks/liz_powers_a_new_way_to_define_self_worth,
534,Janne Willems,Why I ask strangers to draw their memories,"For her social art project, Seize Your Moments, artist Janne Willems approaches strangers and asks them to draw beautiful moments from the past week on postcards. So far, Willems has collected nearly 11,000 drawings from 30 different countries. In her endearing talk, Willems shares a moving selection of intensely personal treasured moments from her travels. ",Posted May 2019,https://www.ted.com/talks/janne_willems_why_i_ask_strangers_to_draw_their_memories,
535,Wendell Pierce,Theater healed my community after Hurricane Katrina,"Actor Wendell Pierce ruminates on his performance of ""Waiting for Godot"" in the wake of Hurricane Katrina, highlighting the prophetic, transformative and rejuvenating powers of art in times of great strife.",Posted May 2019,https://www.ted.com/talks/wendell_pierce_theater_healed_my_community_after_hurricane_katrina,
536,Winnie Harlow,How I define beauty,"Model and activist Winnie Harlow says she finds beauty in everything, from photos on Instagram to the sheen on a shiny bald head. In this short talk, she explains how living with vitiligo helped her reject societal standards of beauty and define it on her own terms.",Posted May 2019,https://www.ted.com/talks/winnie_harlow_how_i_define_beauty,
537,Jess Thom,How I turned my Tourette's tics into art,"If you listen to visual artist Jess Thom speak, you'll notice she says the words ""hedgehog"" and ""biscuit"" -- a lot. Thom has Tourette's syndrome, but she doesn't let that stop her from finding humor in her condition and educating people about the disorder. In this funny talk, Thom busts common misconceptions about Tourette's and shows how she's turning her tics into toe-tapping works of art. ",Posted May 2019,https://www.ted.com/talks/jess_thom_how_i_turned_my_tourette_s_tics_into_art,
